LGA_CODE_2016,LGA_NAME_2016,SA3_CODE_2021,SA3_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
15050,Maitland (C),11103,Newcastle,0.0390314,Good,Poor,0
15050,Maitland (C),10602,Maitland,0.9575564,Good,Poor,0
15240,Mid-Coast (A),10804,Port Macquarie,0.0002665,Good,Poor,1
15240,Mid-Coast (A),10603,Port Stephens,0.0574622,Acceptable,Poor,0
15240,Mid-Coast (A),10801,Great Lakes,0.3459138,Poor,Poor,0
15240,Mid-Coast (A),10805,Taree - Gloucester,0.5963575,Poor,Poor,0
15270,Mid-Western Regional (A),10303,Lithgow - Mudgee,1,Good,Poor,0
15300,Moree Plains (A),11003,Moree - Narrabri,1,Good,Poor,0
15350,Mosman (A),12104,North Sydney - Mosman,1,Good,Poor,0
15520,Murray River (A),10902,Lower Murray,0.0423875,Good,Poor,0
15520,Murray River (A),10903,Upper Murray exc. Albury,0.9576125,Good,Poor,0
15560,Murrumbidgee (A),10903,Upper Murray exc. Albury,0.3302847,Good,Poor,0
15560,Murrumbidgee (A),11301,Griffith - Murrumbidgee (West),0.6697153,Good,Poor,0
15650,Muswellbrook (A),10604,Upper Hunter,1,Good,Poor,0
15700,Nambucca (A),10402,Coffs Harbour,0.0002086,Good,Poor,1
15700,Nambucca (A),10802,Kempsey - Nambucca,0.9997914,Good,Poor,0
15750,Narrabri (A),11004,Tamworth - Gunnedah,0.0839754,Good,Poor,0
15750,Narrabri (A),11003,Moree - Narrabri,0.9160246,Good,Poor,0
15800,Narrandera (A),11301,Griffith - Murrumbidgee (West),1,Good,Poor,0
15850,Narromine (A),10503,Dubbo,1,Good,Poor,0
15900,Newcastle (C),11101,Lake Macquarie - East,0.0036068,Poor,Poor,1
15900,Newcastle (C),11103,Newcastle,0.9963932,Good,Poor,0
15950,North Sydney (A),12101,Chatswood - Lane Cove,0.0294129,Good,Poor,0
15950,North Sydney (A),12104,North Sydney - Mosman,0.9705871,Good,Poor,0
15990,Northern Beaches (A),12201,Manly,0.1657657,Poor,Poor,0
15990,Northern Beaches (A),12202,Pittwater,0.2388279,Poor,Poor,0
15990,Northern Beaches (A),12203,Warringah,0.5954064,Poor,Poor,0
16100,Oberon (A),10301,Bathurst,1,Good,Poor,0
16150,Orange (C),10304,Orange,1,Good,Poor,0
16200,Parkes (A),10302,Lachlan Valley,1,Good,Poor,0
16260,Parramatta (C),11601,Blacktown,1.34E-05,Poor,Poor,1
16260,Parramatta (C),12503,Merrylands - Guildford,0.0069169,Poor,Poor,1
16260,Parramatta (C),12602,Ryde - Hunters Hill,0.0203086,Good,Poor,0
16260,Parramatta (C),12501,Auburn,0.082963,Poor,Poor,0
16260,Parramatta (C),12601,Pennant Hills - Epping,0.1005092,Poor,Poor,0
16260,Parramatta (C),12502,Carlingford,0.2944691,Poor,Poor,0
16260,Parramatta (C),12504,Parramatta,0.4948198,Poor,Poor,0
16350,Penrith (C),12702,Fairfield,0.0092762,Good,Poor,1
16350,Penrith (C),12404,Richmond - Windsor,0.0284467,Poor,Poor,0
16350,Penrith (C),12405,St Marys,0.2775753,Poor,Poor,0
16350,Penrith (C),12403,Penrith,0.6847019,Poor,Poor,0
16380,Port Macquarie-Hastings (A),10804,Port Macquarie,1,Good,Poor,0
16400,Port Stephens (A),11103,Newcastle,0.0477091,Good,Poor,0
16400,Port Stephens (A),10603,Port Stephens,0.9522909,Acceptable,Poor,0
16490,Queanbeyan-Palerang Regional (A),10105,Goulburn - Mulwaree,0.003271,Good,Poor,1
16490,Queanbeyan-Palerang Regional (A),10102,Queanbeyan,0.996729,Good,Poor,0
16550,Randwick (C),11701,Botany,4.29E-05,Good,Poor,1
16550,Randwick (C),11802,Eastern Suburbs - South,0.9999571,Good,Poor,0
16610,Richmond Valley (A),11201,Richmond Valley - Coastal,0.2264902,Good,Poor,0
16610,Richmond Valley (A),11202,Richmond Valley - Hinterland,0.7735098,Good,Poor,0
16650,Rockdale (C),11904,Kogarah - Rockdale,1,Acceptable,Poor,0
16700,Ryde (C),12101,Chatswood - Lane Cove,0.0030081,Good,Poor,1
16700,Ryde (C),12602,Ryde - Hunters Hill,0.9969919,Good,Poor,0
16900,Shellharbour (C),10703,Kiama - Shellharbour,1,Good,Poor,0
16950,Shoalhaven (C),10104,South Coast,0.0015799,Good,Poor,1
16950,Shoalhaven (C),11401,Shoalhaven,0.9984201,Good,Poor,0
17000,Singleton (A),10601,Lower Hunter,1,Good,Poor,0
17040,Snowy Monaro Regional (A),10102,Queanbeyan,0.042199,Good,Poor,0
17040,Snowy Monaro Regional (A),10103,Snowy Mountains,0.957801,Good,Poor,0
17080,Snowy Valleys (A),11302,Tumut - Tumbarumba,1,Good,Poor,0
17100,Strathfield (A),11902,Canterbury,0.0353836,Poor,Poor,0
17100,Strathfield (A),11901,Bankstown,0.0387184,Poor,Poor,0
17100,Strathfield (A),12003,Strathfield - Burwood - Ashfield,0.9258979,Poor,Poor,0
17150,Sutherland Shire (A),12703,Liverpool,0.0027012,Poor,Poor,1
17150,Sutherland Shire (A),12802,Sutherland - Menai - Heathcote,0.4946851,Poor,Poor,0
17150,Sutherland Shire (A),12801,Cronulla - Miranda - Caringbah,0.5026137,Poor,Poor,0
17200,Sydney (C),11702,Marrickville - Sydenham - Petersham,1.00E-07,Poor,Poor,1
17200,Sydney (C),11801,Eastern Suburbs - North,0.0256125,Good,Poor,0
17200,Sydney (C),11703,Sydney Inner City,0.9743874,Good,Poor,0
17310,Tamworth Regional (A),11002,Inverell - Tenterfield,0.0003032,Good,Poor,1
17310,Tamworth Regional (A),11001,Armidale,0.0026946,Good,Poor,1
17310,Tamworth Regional (A),11004,Tamworth - Gunnedah,0.9970022,Good,Poor,0
17350,Temora (A),11303,Wagga Wagga,1,Good,Poor,0
17400,Tenterfield (A),11002,Inverell - Tenterfield,1,Good,Poor,0
17420,The Hills Shire (A),12504,Parramatta,0.0037248,Poor,Poor,1
17420,The Hills Shire (A),11601,Blacktown,0.0056475,Poor,Poor,1
17420,The Hills Shire (A),11502,Dural - Wisemans Ferry,0.0870566,Poor,Poor,0
17420,The Hills Shire (A),11504,Rouse Hill - McGraths Hill,0.146688,Poor,Poor,0
17420,The Hills Shire (A),11501,Baulkham Hills,0.756883,Poor,Poor,0
17550,Tweed (A),11203,Tweed Valley,1,Good,Poor,0
17620,Upper Hunter Shire (A),10303,Lithgow - Mudgee,7.00E-07,Good,Poor,1
17620,Upper Hunter Shire (A),10604,Upper Hunter,0.9999993,Good,Poor,0
17640,Upper Lachlan Shire (A),10106,Young - Yass,0.1683227,Good,Poor,0
17640,Upper Lachlan Shire (A),10105,Goulburn - Mulwaree,0.8316773,Good,Poor,0
17650,Uralla (A),11002,Inverell - Tenterfield,0.0850498,Good,Poor,0
17650,Uralla (A),11001,Armidale,0.9149502,Good,Poor,0
17750,Wagga Wagga (C),11303,Wagga Wagga,1,Good,Poor,0
17850,Walcha (A),11001,Armidale,1,Good,Poor,0
17900,Walgett (A),10501,Bourke - Cobar - Coonamble,1,Good,Poor,0
17950,Warren (A),10503,Dubbo,0.0824811,Good,Poor,0
17950,Warren (A),10501,Bourke - Cobar - Coonamble,0.9175189,Good,Poor,0
18020,Warrumbungle Shire (A),10303,Lithgow - Mudgee,0.1519322,Good,Poor,0
18020,Warrumbungle Shire (A),10503,Dubbo,0.8480678,Good,Poor,0
18050,Waverley (A),11801,Eastern Suburbs - North,1,Good,Poor,0
18100,Weddin (A),10302,Lachlan Valley,1,Good,Poor,0
18200,Wentworth (A),10902,Lower Murray,1,Good,Poor,0
18230,Western Plains Regional (A),10303,Lithgow - Mudgee,0.0002004,Good,Poor,1
18230,Western Plains Regional (A),10304,Orange,0.0005803,Good,Poor,1
18230,Western Plains Regional (A),10503,Dubbo,0.9992193,Good,Poor,0
18250,Willoughby (C),12103,Ku-ring-gai,0.0061355,Good,Poor,1
18250,Willoughby (C),12101,Chatswood - Lane Cove,0.9938645,Good,Poor,0
18350,Wingecarribee (A),11401,Shoalhaven,2.00E-07,Good,Poor,1
18350,Wingecarribee (A),10105,Goulburn - Mulwaree,0.0001256,Good,Poor,1
18350,Wingecarribee (A),12303,Wollondilly,0.0018567,Acceptable,Poor,1
18350,Wingecarribee (A),11402,Southern Highlands,0.9980175,Good,Poor,0
18400,Wollondilly (A),10702,Illawarra Catchment Reserve,2.00E-07,Poor,Poor,1
18400,Wollondilly (A),12402,Blue Mountains - South,2.00E-07,Poor,Poor,1
18400,Wollondilly (A),10704,Wollongong,0.0006396,Poor,Poor,1
18400,Wollondilly (A),12301,Camden,0.0460809,Poor,Poor,0
18400,Wollondilly (A),12403,Penrith,0.1071182,Poor,Poor,0
18400,Wollondilly (A),12303,Wollondilly,0.8461608,Acceptable,Poor,0
18450,Wollongong (C),10701,Dapto - Port Kembla,0.3713361,Poor,Poor,0
18450,Wollongong (C),10704,Wollongong,0.6286639,Poor,Poor,0
18500,Woollahra (A),11801,Eastern Suburbs - North,1,Good,Poor,0
18710,Yass Valley (A),11302,Tumut - Tumbarumba,6.00E-07,Good,Poor,1
18710,Yass Valley (A),10105,Goulburn - Mulwaree,0.0001863,Good,Poor,1
18710,Yass Valley (A),10106,Young - Yass,0.9998131,Good,Poor,0
19399,Unincorporated NSW,10803,Lord Howe Island,0.3164235,Poor,Poor,0
19399,Unincorporated NSW,10502,Broken Hill and Far West,0.6835765,Good,Poor,0
19499,No usual address (NSW),19999,No usual address (NSW),1,Good,Poor,0
19799,Migratory - Offshore - Shipping (NSW),19797,Migratory - Offshore - Shipping (NSW),1,Good,Poor,0
20110,Alpine (S),20403,Wodonga - Alpine,1,Good,Poor,0
20260,Ararat (RC),20103,Maryborough - Pyrenees,0.0176869,Acceptable,Poor,0
20260,Ararat (RC),21501,Grampians,0.9823131,Good,Poor,0
20570,Ballarat (C),20103,Maryborough - Pyrenees,0.0027215,Acceptable,Poor,1
20570,Ballarat (C),20102,Creswick - Daylesford - Ballan,0.0172164,Poor,Poor,0
20570,Ballarat (C),20101,Ballarat,0.9800621,Good,Poor,0
20660,Banyule (C),20901,Banyule,1,Good,Poor,0
20740,Bass Coast (S),20503,Gippsland - South West,1,Good,Poor,0
20830,Baw Baw (S),20504,Latrobe Valley,0.0007656,Good,Poor,1
20830,Baw Baw (S),20503,Gippsland - South West,0.0013245,Good,Poor,1
20830,Baw Baw (S),20501,Baw Baw,0.9979099,Good,Poor,0
20910,Bayside (C),20801,Bayside,1,Good,Poor,0
21010,Benalla (RC),20402,Wangaratta - Benalla,1,Good,Poor,0
21110,Boroondara (C),20701,Boroondara,1,Good,Poor,0
21180,Brimbank (C),21001,Keilor,0.0436038,Poor,Poor,0
21180,Brimbank (C),21301,Brimbank,0.9563962,Good,Poor,0
21270,Buloke (S),21503,Murray River - Swan Hill,1,Good,Poor,0
21370,Campaspe (S),21601,Campaspe,1,Good,Poor,0
21450,Cardinia (S),21105,Yarra Ranges,0.0019652,Good,Poor,1
21450,Cardinia (S),21201,Cardinia,0.9980348,Good,Poor,0
21610,Casey (C),21202,Casey - North,0.4380921,Poor,Poor,0
21610,Casey (C),21203,Casey - South,0.5619079,Poor,Poor,0
21670,Central Goldfields (S),20202,Heathcote - Castlemaine - Kyneton,0.0013158,Poor,Poor,1
21670,Central Goldfields (S),20103,Maryborough - Pyrenees,0.9986842,Acceptable,Poor,0
21750,Colac-Otway (S),21703,Colac - Corangamite,1,Good,Poor,0
21830,Corangamite (S),21704,Warrnambool,0.0088028,Good,Poor,1
21830,Corangamite (S),21703,Colac - Corangamite,0.9911972,Good,Poor,0
21890,Darebin (C),20602,Darebin - South,0.3556419,Poor,Poor,0
21890,Darebin (C),20902,Darebin - North,0.6443581,Poor,Poor,0
22110,East Gippsland (S),20502,Gippsland - East,1,Good,Poor,0
22170,Frankston (C),21401,Frankston,1,Good,Poor,0
22250,Gannawarra (S),21503,Murray River - Swan Hill,1,Good,Poor,0
22310,Glen Eira (C),20802,Glen Eira,1,Good,Poor,0
22410,Glenelg (S),21701,Glenelg - Southern Grampians,1,Good,Poor,0
22490,Golden Plains (S),20101,Ballarat,0.1813162,Good,Poor,0
22490,Golden Plains (S),20103,Maryborough - Pyrenees,0.2060054,Acceptable,Poor,0
22490,Golden Plains (S),20301,Barwon - West,0.6126784,Poor,Poor,0
22620,Greater Bendigo (C),20203,Loddon - Elmore,0.0380152,Poor,Poor,0
22620,Greater Bendigo (C),20202,Heathcote - Castlemaine - Kyneton,0.107534,Poor,Poor,0
22620,Greater Bendigo (C),20201,Bendigo,0.8544508,Acceptable,Poor,0
22670,Greater Dandenong (C),21204,Dandenong,1,Acceptable,Poor,0
22750,Greater Geelong (C),20303,Surf Coast - Bellarine Peninsula,0.194198,Poor,Poor,0
22750,Greater Geelong (C),20302,Geelong,0.805802,Acceptable,Poor,0
22830,Greater Shepparton (C),20402,Wangaratta - Benalla,0.0005185,Good,Poor,1
22830,Greater Shepparton (C),21601,Campaspe,0.002418,Good,Poor,1
22830,Greater Shepparton (C),21603,Shepparton,0.9970634,Good,Poor,0
22910,Hepburn (S),20103,Maryborough - Pyrenees,0.000655,Acceptable,Poor,1
22910,Hepburn (S),20102,Creswick - Daylesford - Ballan,0.999345,Poor,Poor,0
22980,Hindmarsh (S),21501,Grampians,1,Good,Poor,0
23110,Hobsons Bay (C),21305,Wyndham,0.0536716,Good,Poor,0
23110,Hobsons Bay (C),21302,Hobsons Bay,0.9463284,Good,Poor,0
23190,Horsham (RC),21501,Grampians,1,Good,Poor,0
23270,Hume (C),21001,Keilor,1.00E-07,Poor,Poor,1
23270,Hume (C),21004,Sunbury,0.1878571,Poor,Poor,0
23270,Hume (C),21005,Tullamarine - Broadmeadows,0.8121429,Acceptable,Poor,0
23350,Indigo (S),20402,Wangaratta - Benalla,0.2417217,Good,Poor,0
23350,Indigo (S),20403,Wodonga - Alpine,0.7582783,Good,Poor,0
23430,Kingston (C) (Vic.),21204,Dandenong,0.2282618,Acceptable,Poor,0
23430,Kingston (C) (Vic.),20803,Kingston,0.7717382,Acceptable,Poor,0
23670,Knox (C),21101,Knox,1,Good,Poor,0
23810,Latrobe (C) (Vic.),20503,Gippsland - South West,0.0007123,Good,Poor,1
23810,Latrobe (C) (Vic.),20501,Baw Baw,0.0028758,Good,Poor,1
23810,Latrobe (C) (Vic.),20504,Latrobe Valley,0.996412,Good,Poor,0
23940,Loddon (S),20202,Heathcote - Castlemaine - Kyneton,0.0165165,Poor,Poor,0
23940,Loddon (S),20103,Maryborough - Pyrenees,0.0274874,Acceptable,Poor,0
23940,Loddon (S),20203,Loddon - Elmore,0.9559962,Poor,Poor,0
24130,Macedon Ranges (S),20202,Heathcote - Castlemaine - Kyneton,0.3581693,Poor,Poor,0
24130,Macedon Ranges (S),21002,Macedon Ranges,0.6418307,Poor,Poor,0
24210,Manningham (C),21104,Whitehorse - East,0.0025227,Poor,Poor,1
24210,Manningham (C),21102,Manningham - East,0.2199255,Poor,Poor,0
24210,Manningham (C),20702,Manningham - West,0.7775518,Acceptable,Poor,0
24250,Mansfield (S),20401,Upper Goulburn Valley,1,Acceptable,Poor,0
24330,Maribyrnong (C),21303,Maribyrnong,1,Good,Poor,0
24410,Maroondah (C),21104,Whitehorse - East,0.0039755,Poor,Poor,1
24410,Maroondah (C),21103,Maroondah,0.9960245,Good,Poor,0
24600,Melbourne (C),20605,Port Phillip,2.27E-05,Good,Poor,1
24600,Melbourne (C),20604,Melbourne City,0.9999773,Good,Poor,0
24650,Melton (C),21004,Sunbury,0.0173715,Poor,Poor,0
24650,Melton (C),21304,Melton - Bacchus Marsh,0.9826285,Good,Poor,0
24780,Mildura (RC),21502,Mildura,1,Good,Poor,0
24850,Mitchell (S),20904,Whittlesea - Wallan,0.3965643,Good,Poor,0
24850,Mitchell (S),20401,Upper Goulburn Valley,0.6034357,Acceptable,Poor,0
24900,Moira (S),21602,Moira,1,Good,Poor,0
24970,Monash (C),20802,Glen Eira,0.0413137,Good,Poor,0
24970,Monash (C),21205,Monash,0.9586863,Good,Poor,0
25060,Moonee Valley (C),21001,Keilor,0.4292996,Poor,Poor,0
25060,Moonee Valley (C),20603,Essendon,0.5707004,Poor,Poor,0
25150,Moorabool (S),20101,Ballarat,0.0063535,Good,Poor,1
25150,Moorabool (S),20102,Creswick - Daylesford - Ballan,0.3533861,Poor,Poor,0
25150,Moorabool (S),21304,Melton - Bacchus Marsh,0.6402605,Good,Poor,0
25250,Moreland (C),20607,Yarra,0.0049208,Good,Poor,1
25250,Moreland (C),21003,Moreland - North,0.465038,Poor,Poor,0
25250,Moreland (C),20601,Brunswick - Coburg,0.5300412,Poor,Poor,0
25340,Mornington Peninsula (S),21402,Mornington Peninsula,1,Good,Poor,0
25430,Mount Alexander (S),20103,Maryborough - Pyrenees,0.0002228,Acceptable,Poor,1
25430,Mount Alexander (S),20202,Heathcote - Castlemaine - Kyneton,0.9997772,Poor,Poor,0
25490,Moyne (S),21701,Glenelg - Southern Grampians,0.0049191,Good,Poor,1
25490,Moyne (S),21703,Colac - Corangamite,0.008138,Good,Poor,1
25490,Moyne (S),21704,Warrnambool,0.986943,Good,Poor,0
25620,Murrindindi (S),20903,Nillumbik - Kinglake,0.2792251,Good,Poor,0
25620,Murrindindi (S),20401,Upper Goulburn Valley,0.7207749,Acceptable,Poor,0
25710,Nillumbik (S),20903,Nillumbik - Kinglake,1,Good,Poor,0
25810,Northern Grampians (S),21501,Grampians,1,Good,Poor,0
25900,Port Phillip (C),20605,Port Phillip,1,Good,Poor,0
