LGA_CODE_2016,LGA_NAME_2016,SA3_CODE_2021,SA3_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10050,Albury (C),10901,Albury,1,Good,Poor,0
10130,Armidale Regional (A),10802,Kempsey - Nambucca,0.0011673,Good,Poor,1
10130,Armidale Regional (A),11002,Inverell - Tenterfield,0.0376482,Good,Poor,0
10130,Armidale Regional (A),11001,Armidale,0.9611846,Good,Poor,0
10250,Ballina (A),11202,Richmond Valley - Hinterland,0.0024964,Good,Poor,1
10250,Ballina (A),11201,Richmond Valley - Coastal,0.9975036,Good,Poor,0
10300,Balranald (A),10902,Lower Murray,1,Good,Poor,0
10470,Bathurst Regional (A),10303,Lithgow - Mudgee,0.000366,Good,Poor,1
10470,Bathurst Regional (A),10301,Bathurst,0.999634,Good,Poor,0
10550,Bega Valley (A),10104,South Coast,1,Good,Poor,0
10600,Bellingen (A),10802,Kempsey - Nambucca,0.000239,Good,Poor,1
10600,Bellingen (A),10402,Coffs Harbour,0.999761,Good,Poor,0
10650,Berrigan (A),10903,Upper Murray exc. Albury,1,Good,Poor,0
10750,Blacktown (C),12503,Merrylands - Guildford,1.79E-05,Poor,Poor,1
10750,Blacktown (C),11602,Blacktown - North,0.2733926,Poor,Poor,0
10750,Blacktown (C),11603,Mount Druitt,0.3336095,Poor,Poor,0
10750,Blacktown (C),11601,Blacktown,0.39298,Poor,Poor,0
10800,Bland (A),11301,Griffith - Murrumbidgee (West),0.004864,Good,Poor,1
10800,Bland (A),10302,Lachlan Valley,0.995136,Good,Poor,0
10850,Blayney (A),10304,Orange,1,Good,Poor,0
10900,Blue Mountains (C),11503,Hawkesbury,0.0025769,Poor,Poor,1
10900,Blue Mountains (C),12401,Blue Mountains,0.9974231,Good,Poor,0
10950,Bogan (A),10501,Bourke - Cobar - Coonamble,1,Good,Poor,0
11100,Botany Bay (C),11701,Botany,1,Good,Poor,0
11150,Bourke (A),10501,Bourke - Cobar - Coonamble,1,Good,Poor,0
11200,Brewarrina (A),10501,Bourke - Cobar - Coonamble,1,Good,Poor,0
11250,Broken Hill (C),10502,Broken Hill and Far West,1,Good,Poor,0
11300,Burwood (A),12003,Strathfield - Burwood - Ashfield,1,Poor,Poor,0
11350,Byron (A),11202,Richmond Valley - Hinterland,0.0058866,Good,Poor,1
11350,Byron (A),11201,Richmond Valley - Coastal,0.9941134,Good,Poor,0
11400,Cabonne (A),10503,Dubbo,0.0381948,Good,Poor,0
11400,Cabonne (A),10302,Lachlan Valley,0.2184788,Good,Poor,0
11400,Cabonne (A),10304,Orange,0.7433264,Good,Poor,0
11450,Camden (A),12701,Bringelly - Green Valley,0.2274091,Poor,Poor,0
11450,Camden (A),12301,Camden,0.7725908,Poor,Poor,0
11500,Campbelltown (C) (NSW),12701,Bringelly - Green Valley,0.0004527,Poor,Poor,1
11500,Campbelltown (C) (NSW),12302,Campbelltown (NSW),0.9995473,Good,Poor,0
11520,Canada Bay (A),12003,Strathfield - Burwood - Ashfield,0.0302489,Poor,Poor,0
11520,Canada Bay (A),12001,Canada Bay,0.9697511,Good,Poor,0
11570,Canterbury-Bankstown (A),12501,Auburn,0.0020452,Poor,Poor,1
11570,Canterbury-Bankstown (A),11903,Hurstville,0.0248515,Acceptable,Poor,0
11570,Canterbury-Bankstown (A),12003,Strathfield - Burwood - Ashfield,0.0430817,Poor,Poor,0
11570,Canterbury-Bankstown (A),12503,Merrylands - Guildford,0.0533589,Poor,Poor,0
11570,Canterbury-Bankstown (A),11902,Canterbury,0.3869448,Poor,Poor,0
11570,Canterbury-Bankstown (A),11901,Bankstown,0.4897179,Poor,Poor,0
11600,Carrathool (A),10902,Lower Murray,0.0102456,Good,Poor,0
11600,Carrathool (A),11301,Griffith - Murrumbidgee (West),0.9897544,Good,Poor,0
11650,Central Coast (C) (NSW),10202,Wyong,0.484381,Poor,Poor,0
11650,Central Coast (C) (NSW),10201,Gosford,0.515619,Poor,Poor,0
11700,Central Darling (A),10502,Broken Hill and Far West,1,Good,Poor,0
11720,Cessnock (C),10602,Maitland,0.0021751,Good,Poor,1
11720,Cessnock (C),10601,Lower Hunter,0.9978249,Good,Poor,0
11730,Clarence Valley (A),10402,Coffs Harbour,0.007892,Good,Poor,1
11730,Clarence Valley (A),10401,Clarence Valley,0.992108,Good,Poor,0
11750,Cobar (A),10501,Bourke - Cobar - Coonamble,1,Good,Poor,0
11800,Coffs Harbour (C),10402,Coffs Harbour,1,Good,Poor,0
12000,Coolamon (A),11303,Wagga Wagga,1,Good,Poor,0
12150,Coonamble (A),10501,Bourke - Cobar - Coonamble,1,Good,Poor,0
12350,Cowra (A),10304,Orange,0.0009625,Good,Poor,1
12350,Cowra (A),10302,Lachlan Valley,0.9990375,Good,Poor,0
12380,Cumberland (A),11601,Blacktown,0.0081909,Poor,Poor,1
12380,Cumberland (A),12504,Parramatta,0.1303573,Poor,Poor,0
12380,Cumberland (A),12501,Auburn,0.3251501,Poor,Poor,0
12380,Cumberland (A),12503,Merrylands - Guildford,0.5363017,Poor,Poor,0
12700,Dungog (A),10601,Lower Hunter,1,Good,Poor,0
12730,Edward River (A),10903,Upper Murray exc. Albury,1,Good,Poor,0
12750,Eurobodalla (A),10104,South Coast,1,Good,Poor,0
12850,Fairfield (C),12503,Merrylands - Guildford,0.0770135,Poor,Poor,0
12850,Fairfield (C),12702,Fairfield,0.9229865,Good,Poor,0
12870,Federation (A),11301,Griffith - Murrumbidgee (West),0.0134611,Good,Poor,0
12870,Federation (A),10903,Upper Murray exc. Albury,0.9865389,Good,Poor,0
12900,Forbes (A),10302,Lachlan Valley,1,Good,Poor,0
12930,Georges River (A),11904,Kogarah - Rockdale,0.1922868,Acceptable,Poor,0
12930,Georges River (A),11903,Hurstville,0.8077132,Acceptable,Poor,0
12950,Gilgandra (A),10503,Dubbo,1,Good,Poor,0
13010,Glen Innes Severn (A),11002,Inverell - Tenterfield,1,Good,Poor,0
13310,Goulburn Mulwaree (A),10102,Queanbeyan,0.0224119,Good,Poor,0
13310,Goulburn Mulwaree (A),10105,Goulburn - Mulwaree,0.9775881,Good,Poor,0
13340,Greater Hume Shire (A),11302,Tumut - Tumbarumba,0.00406,Good,Poor,1
13340,Greater Hume Shire (A),10903,Upper Murray exc. Albury,0.0123722,Good,Poor,0
13340,Greater Hume Shire (A),10901,Albury,0.9835678,Good,Poor,0
13450,Griffith (C),11301,Griffith - Murrumbidgee (West),1,Good,Poor,0
13510,Gundagai (A),11303,Wagga Wagga,1,Good,Poor,0
13550,Gunnedah (A),11004,Tamworth - Gunnedah,1,Good,Poor,0
13660,Gwydir (A),11004,Tamworth - Gunnedah,0.0007662,Good,Poor,1
13660,Gwydir (A),11003,Moree - Narrabri,0.0944125,Good,Poor,0
13660,Gwydir (A),11002,Inverell - Tenterfield,0.9048212,Good,Poor,0
13800,Hawkesbury (C),11502,Dural - Wisemans Ferry,0.0008062,Poor,Poor,1
13800,Hawkesbury (C),11504,Rouse Hill - McGraths Hill,0.1569171,Poor,Poor,0
13800,Hawkesbury (C),11503,Hawkesbury,0.3784486,Poor,Poor,0
13800,Hawkesbury (C),12404,Richmond - Windsor,0.4638281,Poor,Poor,0
13850,Hay (A),10902,Lower Murray,1,Good,Poor,0
13910,Hilltops (A),10106,Young - Yass,1,Good,Poor,0
14000,Hornsby (A),11502,Dural - Wisemans Ferry,0.0873762,Poor,Poor,0
14000,Hornsby (A),11501,Baulkham Hills,0.1731219,Poor,Poor,0
14000,Hornsby (A),12601,Pennant Hills - Epping,0.1757603,Poor,Poor,0
14000,Hornsby (A),12102,Hornsby,0.5637416,Poor,Poor,0
14100,Hunters Hill (A),12602,Ryde - Hunters Hill,1,Good,Poor,0
14170,Inner West (A),11703,Sydney Inner City,0.0611181,Good,Poor,0
14170,Inner West (A),11702,Marrickville - Sydenham - Petersham,0.3006446,Poor,Poor,0
14170,Inner West (A),12002,Leichhardt,0.3078451,Poor,Poor,0
14170,Inner West (A),12003,Strathfield - Burwood - Ashfield,0.3303922,Poor,Poor,0
14200,Inverell (A),11002,Inverell - Tenterfield,1,Good,Poor,0
14300,Junee (A),11303,Wagga Wagga,1,Good,Poor,0
14350,Kempsey (A),10802,Kempsey - Nambucca,1,Good,Poor,0
14400,Kiama (A),11401,Shoalhaven,5.00E-07,Good,Poor,1
14400,Kiama (A),11402,Southern Highlands,0.0040571,Good,Poor,1
14400,Kiama (A),10703,Kiama - Shellharbour,0.9959424,Good,Poor,0
14500,Ku-ring-gai (A),12102,Hornsby,0.001178,Poor,Poor,1
14500,Ku-ring-gai (A),12103,Ku-ring-gai,0.998822,Good,Poor,0
14550,Kyogle (A),11202,Richmond Valley - Hinterland,1,Good,Poor,0
14600,Lachlan (A),10302,Lachlan Valley,1,Good,Poor,0
14650,Lake Macquarie (C),11103,Newcastle,0.0135566,Good,Poor,0
14650,Lake Macquarie (C),11102,Lake Macquarie - West,0.3811514,Poor,Poor,0
14650,Lake Macquarie (C),11101,Lake Macquarie - East,0.6052921,Poor,Poor,0
14700,Lane Cove (A),12101,Chatswood - Lane Cove,1,Good,Poor,0
14750,Leeton (A),11301,Griffith - Murrumbidgee (West),1,Good,Poor,0
14850,Lismore (C),11201,Richmond Valley - Coastal,0.0018999,Good,Poor,1
14850,Lismore (C),11202,Richmond Valley - Hinterland,0.9981001,Good,Poor,0
14870,Lithgow (C),10303,Lithgow - Mudgee,1,Good,Poor,0
14900,Liverpool (C),12702,Fairfield,0.0025983,Good,Poor,1
14900,Liverpool (C),12403,Penrith,0.0037403,Poor,Poor,1
14900,Liverpool (C),12302,Campbelltown (NSW),0.0061121,Good,Poor,1
14900,Liverpool (C),12701,Bringelly - Green Valley,0.4182987,Poor,Poor,0
14900,Liverpool (C),12703,Liverpool,0.5692506,Poor,Poor,0
14920,Liverpool Plains (A),11004,Tamworth - Gunnedah,1,Good,Poor,0
14950,Lockhart (A),10901,Albury,0.0032057,Good,Poor,1
14950,Lockhart (A),11303,Wagga Wagga,0.9967943,Good,Poor,0
15050,Maitland (C),10601,Lower Hunter,0.0034121,Good,Poor,1
