SA2_CODE_2021,SA2_NAME_2021,CED_CODE_2024,CED_NAME_2024,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
305041137,Toowong,328,Ryan,1,Good,Good,0
306011138,Brinsmead,318,Leichhardt,1,Good,Good,0
306011139,Clifton Beach - Kewarra Beach,318,Leichhardt,1,Good,Good,0
306011140,Freshwater - Stratford,318,Leichhardt,1,Good,Good,0
306011141,Redlynch,318,Leichhardt,1,Good,Good,0
306011142,Trinity Beach - Smithfield,318,Leichhardt,1,Good,Good,0
306011143,Yorkeys Knob - Machans Beach,318,Leichhardt,1,Good,Good,0
306021144,Bentley Park,317,Kennedy,1,Good,Good,0
306021145,Cairns City,318,Leichhardt,1,Good,Good,0
306021146,Earlville - Bayview Heights,318,Leichhardt,1,Good,Good,0
306021147,Edmonton,317,Kennedy,1,Good,Good,0
306021148,Gordonvale - Trinity,317,Kennedy,1,Good,Good,0
306021149,Kanimbla - Mooroobool,318,Leichhardt,1,Good,Good,0
306021150,Lamb Range,317,Kennedy,1.00E-07,Good,Good,1
306021150,Lamb Range,318,Leichhardt,0.9999999,Good,Good,0
306021151,Manoora,318,Leichhardt,1,Good,Good,0
306021152,Manunda,318,Leichhardt,1,Good,Good,0
306021153,Mount Sheridan,317,Kennedy,0.001613,Good,Good,1
306021153,Mount Sheridan,318,Leichhardt,0.998387,Good,Good,0
306021154,Westcourt - Bungalow,318,Leichhardt,1,Good,Good,0
306021155,White Rock,318,Leichhardt,1,Good,Good,0
306021156,Whitfield - Edge Hill,318,Leichhardt,1,Good,Good,0
306021157,Woree,318,Leichhardt,1,Good,Good,0
306031158,Babinda,317,Kennedy,1,Good,Good,0
306031159,Innisfail,317,Kennedy,1,Good,Good,0
306031160,Johnstone,317,Kennedy,1,Good,Good,0
306031161,Tully,317,Kennedy,1,Good,Good,0
306031162,Wooroonooran,317,Kennedy,1,Good,Good,0
306031163,Yarrabah,317,Kennedy,1,Good,Good,0
306041164,Daintree,318,Leichhardt,1,Good,Good,0
306041165,Port Douglas,318,Leichhardt,1,Good,Good,0
306051166,Atherton,317,Kennedy,1,Good,Good,0
306051167,Herberton,317,Kennedy,1,Good,Good,0
306051168,Kuranda,317,Kennedy,0.0416938,Good,Good,0
306051168,Kuranda,318,Leichhardt,0.9583062,Good,Good,0
306051169,Malanda - Yungaburra,317,Kennedy,1,Good,Good,0
306051170,Mareeba,317,Kennedy,1,Good,Good,0
307011171,Balonne,321,Maranoa,1,Good,Good,0
307011172,Chinchilla,321,Maranoa,1,Good,Good,0
307011173,Goondiwindi,321,Maranoa,1,Good,Good,0
307011174,Inglewood - Waggamba,321,Maranoa,1,Good,Good,0
307011175,Miles - Wandoan,321,Maranoa,1,Good,Good,0
307011176,Roma,321,Maranoa,1,Good,Good,0
307011177,Roma Surrounds,321,Maranoa,1,Good,Good,0
307011178,Tara,321,Maranoa,1,Good,Good,0
307021179,Crows Nest - Rosalie,314,Groom,0.359661,Good,Good,0
307021179,Crows Nest - Rosalie,321,Maranoa,0.640339,Good,Good,0
307021180,Jondaryan,321,Maranoa,0.0076559,Good,Good,1
307021180,Jondaryan,314,Groom,0.9923441,Good,Good,0
307021181,Millmerran,321,Maranoa,1,Good,Good,0
307021182,Pittsworth,314,Groom,1,Good,Good,0
307021183,Wambo,314,Groom,0.0014903,Good,Good,1
307021183,Wambo,321,Maranoa,0.9985097,Good,Good,0
307031184,Clifton - Greenmount,314,Groom,0.3903554,Good,Good,0
307031184,Clifton - Greenmount,321,Maranoa,0.6096446,Good,Good,0
307031185,Southern Downs - East,321,Maranoa,1,Good,Good,0
307031186,Southern Downs - West,321,Maranoa,1,Good,Good,0
307031187,Stanthorpe,321,Maranoa,1,Good,Good,0
307031188,Stanthorpe Surrounds,321,Maranoa,1,Good,Good,0
307031189,Warwick,321,Maranoa,1,Good,Good,0
308011190,Central Highlands - East,311,Flynn,1,Good,Good,0
308011191,Central Highlands - West,311,Flynn,1,Good,Good,0
308011192,Emerald,311,Flynn,1,Good,Good,0
308031205,Berserker,305,Capricornia,1,Good,Good,0
