SAL_CODE_2021,SAL_NAME_2021,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10077,Ardlethan,15800,Narrandera,0.0234378,Good,Good,0
10078,Argalong,17080,Snowy Valleys,1,Good,Good,0
10079,Argenton,14650,Lake Macquarie,1,Good,Good,0
10080,Argents Hill,15700,Nambucca Valley,1,Good,Good,0
10081,Argoon,15560,Murrumbidgee,1,Good,Good,0
10082,Ariah Park,10800,Bland,0.0947247,Good,Good,0
10082,Ariah Park,17350,Temora,0.9052753,Good,Good,0
10083,Arkell,10470,Bathurst Regional,1,Good,Good,0
10084,Arkstone,16100,Oberon,1,Good,Good,0
10085,Armatree,12950,Gilgandra,1,Good,Good,0
10086,Armidale,10180,Armidale Regional,1,Good,Good,0
10087,Arncliffe,10500,Bayside (NSW),1,Good,Good,0
10088,Arndell Park,10750,Blacktown,1,Good,Good,0
10089,Arrawarra,11800,Coffs Harbour,1,Good,Good,0
10090,Arrawarra Headland,11800,Coffs Harbour,1,Good,Good,0
10091,Artarmon,18250,Willoughby,1,Good,Good,0
10092,Arthurville,12390,Dubbo Regional,1,Good,Good,0
10093,Arumpo,10300,Balranald,0.4872123,Good,Good,0
10093,Arumpo,18200,Wentworth,0.5127877,Good,Good,0
10094,Ashbury,11570,Canterbury-Bankstown,0.9615563,Good,Good,0
10094,Ashbury,14170,Inner West,0.0384437,Good,Good,0
10095,Ashby (NSW),11730,Clarence Valley,1,Good,Good,0
10096,Ashby Heights,11730,Clarence Valley,1,Good,Good,0
10097,Ashby Island,11730,Clarence Valley,1,Good,Good,0
10098,Ashcroft,14900,Liverpool,1,Good,Good,0
10099,Ashfield (NSW),14170,Inner West,1,Good,Good,0
10100,Ashford (NSW),14220,Inverell,1,Good,Good,0
10101,Ashley,15300,Moree Plains,1,Good,Good,0
10102,Ashmont,17750,Wagga Wagga,1,Good,Good,0
10103,Ashtonfield,15050,Maitland,1,Good,Good,0
10104,Asquith,14000,Hornsby,1,Acceptable,Good,0
10105,Atholwood,14220,Inverell,1,Good,Good,0
10106,Attunga,17310,Tamworth Regional,1,Good,Good,0
10107,Auburn (NSW),12380,Cumberland,1,Good,Good,0
10108,Auburn Vale,14220,Inverell,1,Good,Good,0
10109,Austinmer,18450,Wollongong,1,Good,Good,0
10110,Austral,14900,Liverpool,1,Good,Good,0
10111,Austral Eden,14350,Kempsey,1,Good,Good,0
10112,Avalon Beach,15990,Northern Beaches,1,Good,Good,0
10113,Avisford,15270,Mid-Western Regional,1,Good,Good,0
10114,Avoca (NSW),18350,Wingecarribee,1,Good,Good,0
10115,Avoca Beach,11650,Central Coast (NSW),1,Good,Good,0
10116,Avon (NSW),18350,Wingecarribee,0.6,Good,Good,0
10116,Avon (NSW),18450,Wollongong,0.4,Good,Good,0
10117,Avondale (NSW),18450,Wollongong,1,Good,Good,0
10118,Avonside,17040,Snowy Monaro Regional,1,Good,Good,0
10119,Awaba,14650,Lake Macquarie,1,Good,Good,0
10120,Aylmerton,18350,Wingecarribee,1,Good,Good,0
10121,Baan Baa,15750,Narrabri,1,Good,Good,0
10122,Babinda (NSW),10950,Bogan,1,Good,Good,0
10123,Babyl Creek,14550,Kyogle,1,Good,Good,0
10124,Back Creek (Bland - NSW),10800,Bland,1,Good,Good,0
10125,Back Creek (Gwydir - NSW),13660,Gwydir,1,Good,Good,0
10126,Back Creek (Mid-Coast - NSW),15240,Mid-Coast,1,Good,Good,0
10127,Back Creek (Queanbeyan-Palerang Regional - NSW),16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10128,Back Creek (Tenterfield - NSW),17400,Tenterfield,1,Good,Good,0
10129,Back Creek (Tweed - NSW),17550,Tweed,1,Good,Good,0
10130,Back Forest,16950,Shoalhaven,1,Good,Good,0
10131,Backmede,16610,Richmond Valley,1,Good,Good,0
10132,Backwater,10180,Armidale Regional,1,Good,Good,0
10133,Badgerys Creek,14900,Liverpool,0.9431508,Good,Good,0
10133,Badgerys Creek,16350,Penrith,0.0568492,Good,Good,0
10134,Badja,17040,Snowy Monaro Regional,1,Good,Good,0
10135,Baerami,15650,Muswellbrook,1,Good,Good,0
10136,Baerami Creek,15650,Muswellbrook,1,Good,Good,0
10137,Bagnoo,16380,Port Macquarie-Hastings,1,Good,Good,0
10138,Bago,16380,Port Macquarie-Hastings,1,Good,Good,0
10139,Bagotville,10250,Ballina,1,Good,Good,0
10140,Bakers Creek (Mid-Coast - NSW),15240,Mid-Coast,1,Good,Good,0
10141,Bakers Creek (Nambucca Valley - NSW),15700,Nambucca Valley,1,Good,Good,0
10142,Bakers Creek (Uralla - NSW),17650,Uralla,1,Good,Good,0
10143,Bakers Swamp,12390,Dubbo Regional,1,Good,Good,0
10144,Balaclava (NSW),18350,Wingecarribee,1,Good,Good,0
10145,Balala,17650,Uralla,1,Good,Good,0
10146,Balcolyn,14650,Lake Macquarie,1,Good,Good,0
10147,Bald Blair,10180,Armidale Regional,1,Good,Good,0
10148,Bald Hills (NSW),10550,Bega Valley,1,Good,Good,0
10149,Bald Nob,13010,Glen Innes Severn,1,Good,Good,0
10150,Bald Ridge,10470,Bathurst Regional,0.0005869,Good,Good,1
10150,Bald Ridge,16100,Oberon,0.9994131,Good,Good,0
10151,Baldersleigh,10180,Armidale Regional,1,Good,Good,0
10152,Baldry,11400,Cabonne,1,Good,Good,0
10153,Balfours Peak,13660,Gwydir,1,Good,Good,0
10154,Balgowlah,15990,Northern Beaches,1,Good,Good,0
10155,Balgowlah Heights,15990,Northern Beaches,1,Good,Good,0
10156,Balgownie,18450,Wollongong,1,Good,Good,0
10157,Balickera,16400,Port Stephens,1,Good,Good,0
10158,Balladoran,12950,Gilgandra,1,Good,Good,0
10159,Ballalaba,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
10160,Balldale,12870,Federation,0.6380526,Good,Good,0
10160,Balldale,13340,Greater Hume Shire,0.3619474,Good,Good,0
10161,Ballengarra,16380,Port Macquarie-Hastings,1,Good,Good,0
10162,Ballimore,12390,Dubbo Regional,1,Good,Good,0
10163,Ballina,10250,Ballina,1,Good,Good,0
10164,Ballyroe,16100,Oberon,1,Good,Good,0
10165,Balmain,14170,Inner West,1,Good,Good,0
10166,Balmain East,14170,Inner West,0.9978697,Good,Good,0
10166,Balmain East,19399,Unincorporated NSW,0.0021303,Acceptable,Good,1
10167,Balmoral (Lake Macquarie - NSW),14650,Lake Macquarie,1,Good,Good,0
10168,Balmoral (Wingecarribee - NSW),18350,Wingecarribee,1,Good,Good,0
10169,Balranald,10300,Balranald,1,Good,Good,0
10170,Bamarang,16950,Shoalhaven,1,Good,Good,0
10171,Banda Banda,16380,Port Macquarie-Hastings,1,Good,Good,0
10172,Bandon Grove,12700,Dungog,1,Good,Good,0
10173,Bangadang,17080,Snowy Valleys,1,Good,Good,0
10174,Bangalee (NSW),16950,Shoalhaven,1,Good,Good,0
10175,Bangalow,11350,Byron,1,Good,Good,0
10176,Bangheet,13660,Gwydir,1,Good,Good,0
10177,Bango,18710,Yass Valley,1,Good,Good,0
10178,Bangor (NSW),17150,Sutherland Shire,1,Good,Good,0
10179,Banksia,10500,Bayside (NSW),1,Good,Good,0
10180,Banksmeadow,10500,Bayside (NSW),1,Good,Good,0
10181,Bankstown,11570,Canterbury-Bankstown,1,Good,Good,0
10182,Bankstown Aerodrome,11570,Canterbury-Bankstown,1,Good,Good,0
10183,Bannaby,17640,Upper Lachlan Shire,1,Good,Good,0
10184,Bannister (NSW),17640,Upper Lachlan Shire,1,Good,Good,0
10185,Banoon,17310,Tamworth Regional,1,Good,Good,0
10186,Banora Point,17550,Tweed,1,Good,Good,0
10187,Banyabba,11730,Clarence Valley,0.9996777,Good,Good,0
10187,Banyabba,16610,Richmond Valley,0.0003223,Good,Good,1
10188,Bar Beach,15900,Newcastle,1,Good,Good,0
10189,Bar Point,11650,Central Coast (NSW),1,Good,Good,0
10190,Bara,15270,Mid-Western Regional,1,Good,Good,0
10191,Baradine,18020,Warrumbungle Shire,1,Good,Good,0
10192,Barangaroo,17200,Sydney,1,Good,Good,0
10193,Barcoongere,11730,Clarence Valley,0.5714286,Good,Good,0
10193,Barcoongere,11800,Coffs Harbour,0.4285714,Good,Good,0
10194,Barden Ridge,17150,Sutherland Shire,1,Good,Good,0
10195,Bardia,11500,Campbelltown (NSW),1,Good,Good,0
10196,Bardwell Park,10500,Bayside (NSW),1,Good,Good,0
10197,Bardwell Valley,10500,Bayside (NSW),1,Good,Good,0
10198,Barellan,10800,Bland,0.0866658,Good,Good,0
10198,Barellan,15800,Narrandera,0.9133342,Good,Good,0
10199,Bargo,18350,Wingecarribee,4.40E-06,Good,Good,1
10199,Bargo,18400,Wollondilly,0.9999956,Good,Good,0
10200,Barham,15520,Murray River,1,Good,Good,0
10201,Barigan,15270,Mid-Western Regional,1,Good,Good,0
10202,Barkers Vale,14550,Kyogle,1,Good,Good,0
10203,Barmedman,10800,Bland,0.9278663,Good,Good,0
10203,Barmedman,17350,Temora,0.0721337,Good,Good,0
10204,Barneys Reef,15270,Mid-Western Regional,1,Good,Good,0
10205,Barnsley,14650,Lake Macquarie,1,Good,Good,0
10206,Barooga,10650,Berrigan,1,Good,Good,0
10207,Barraba,13660,Gwydir,0.0053621,Good,Good,1
10207,Barraba,17310,Tamworth Regional,0.9946379,Good,Good,0
10208,Barrack Heights,16900,Shellharbour,1,Good,Good,0
10209,Barrack Point,16900,Shellharbour,1,Good,Good,0
10210,Barraganyatti,14350,Kempsey,1,Good,Good,0
10211,Barragga Bay,10550,Bega Valley,1,Good,Good,0
10212,Barratta (NSW),12730,Edward River,1,Good,Good,0
10213,Barren Grounds,14400,Kiama,0.5,Good,Good,0
10213,Barren Grounds,16950,Shoalhaven,0.5,Good,Good,0
10214,Barrengarry,16950,Shoalhaven,1,Good,Good,0
10215,Barretts Creek,11730,Clarence Valley,1,Good,Good,0
10216,Barringella,16950,Shoalhaven,1,Good,Good,0
10217,Barrington (NSW),15240,Mid-Coast,1,Good,Good,0
10218,Barrington Tops,15240,Mid-Coast,1,Good,Good,0
10219,Barry (Blayney - NSW),10850,Blayney,1,Good,Good,0
10220,Barry (Tamworth Regional - NSW),17310,Tamworth Regional,0.5,Good,Good,0
10220,Barry (Tamworth Regional - NSW),17620,Upper Hunter Shire,0.5,Good,Good,0
10221,Barwang,13910,Hilltops,1,Good,Good,0
10222,Baryulgil,11730,Clarence Valley,1,Good,Good,0
10223,Basin View,16950,Shoalhaven,1,Good,Good,0
10224,Bass Hill,11570,Canterbury-Bankstown,1,Good,Good,0
10225,Bassendean (NSW),14220,Inverell,1,Good,Good,0
10226,Batar Creek,16380,Port Macquarie-Hastings,1,Good,Good,0
10227,Bateau Bay,11650,Central Coast (NSW),1,Good,Good,0
10228,Batehaven,12750,Eurobodalla,1,Good,Good,0
10229,Batemans Bay,12750,Eurobodalla,1,Good,Good,0
10230,Bathampton,10470,Bathurst Regional,1,Good,Good,0
10231,Bathurst,10470,Bathurst Regional,1,Good,Good,0
10232,Batlow,17080,Snowy Valleys,1,Good,Good,0
10233,Baulkham Hills,16260,Parramatta,0.027793,Acceptable,Good,0
10233,Baulkham Hills,17420,The Hills Shire,0.972207,Good,Good,0
10234,Baw Baw (NSW),13310,Goulburn Mulwaree,1,Good,Good,0
10235,Bawley Point,16950,Shoalhaven,1,Good,Good,0
10236,Baxters Ridge,15240,Mid-Coast,1,Good,Good,0
10237,Bayview (NSW),15990,Northern Beaches,1,Good,Good,0
10238,Beacon Hill,15990,Northern Beaches,1,Good,Good,0
10239,Beaconsfield (NSW),17200,Sydney,1,Good,Good,0
10240,Bean Creek,14550,Kyogle,1,Good,Good,0
10241,Bearbong,12950,Gilgandra,1,Good,Good,0
10242,Beaumont (NSW),16950,Shoalhaven,1,Good,Good,0
10243,Beaumont Hills,17420,The Hills Shire,1,Good,Good,0
10244,Beckom,10800,Bland,0.1557431,Good,Good,0
10244,Beckom,12000,Coolamon,0.8442569,Good,Good,0
10245,Bective,17310,Tamworth Regional,1,Good,Good,0
10246,Bectric,17350,Temora,1,Good,Good,0
10247,Bedgerabong,12900,Forbes,1,Good,Good,0
10248,Beechwood,16380,Port Macquarie-Hastings,1,Good,Good,0
10249,Beecroft,14000,Hornsby,0.7415163,Acceptable,Good,0
10249,Beecroft,16260,Parramatta,0.2584837,Acceptable,Good,0
10250,Beecroft Peninsula,16950,Shoalhaven,1,Good,Good,0
10251,Beelbangera,13450,Griffith,1,Good,Good,0
10252,Beemunnel,17950,Warren,1,Good,Good,0
10253,Bega,10550,Bega Valley,1,Good,Good,0
10254,Beggan Beggan,13910,Hilltops,1,Good,Good,0
10255,Belanglo,18350,Wingecarribee,1,Good,Good,0
10256,Belbora,15240,Mid-Coast,1,Good,Good,0
10257,Belfield,11570,Canterbury-Bankstown,0.7645683,Good,Good,0
10257,Belfield,17100,Strathfield,0.2354317,Acceptable,Good,0
10258,Belford,17000,Singleton,1,Good,Good,0
10259,Belfrayden,17750,Wagga Wagga,1,Good,Good,0
10260,Belgravia,11400,Cabonne,1,Good,Good,0
10261,Belimbla Park,18400,Wollondilly,1,Good,Good,0
10262,Bell (NSW),10900,Blue Mountains,0.9995244,Good,Good,0
10262,Bell (NSW),14870,Lithgow,0.0004756,Good,Good,1
10263,Bella Vista,17420,The Hills Shire,1,Good,Good,0
