SAL_CODE_2021,SAL_NAME_2021,LGA_CODE_2021,LGA_NAME_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
12472,Manar,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
12473,Manchester Square,18350,Wingecarribee,1,Good,Good,0
12474,Mandagery,11400,Cabonne,0.4698302,Good,Good,0
12474,Mandagery,12900,Forbes,0.1446465,Good,Good,0
12474,Mandagery,16200,Parkes,0.3855233,Good,Good,0
12475,Mandalong,14650,Lake Macquarie,1,Good,Good,0
12476,Mandemar,18350,Wingecarribee,1,Good,Good,0
12477,Mandurama,10850,Blayney,0.9287362,Good,Good,0
12477,Mandurama,12350,Cowra,0.0712638,Good,Good,0
12478,Mangerton,18450,Wollongong,1,Good,Good,0
12479,Mangoola,15650,Muswellbrook,1,Good,Good,0
12480,Mangoplah,17750,Wagga Wagga,1,Good,Good,0
12481,Mangrove Creek,11650,Central Coast (NSW),1,Good,Good,0
12482,Mangrove Mountain,11650,Central Coast (NSW),1,Good,Good,0
12483,Manildra,11400,Cabonne,1,Good,Good,0
12484,Manilla,17310,Tamworth Regional,1,Good,Good,0
12485,Manly (NSW),15990,Northern Beaches,1,Good,Good,0
12486,Manly Vale,15990,Northern Beaches,1,Good,Good,0
12487,Mannering Park,11650,Central Coast (NSW),0.9999961,Good,Good,0
12487,Mannering Park,14650,Lake Macquarie,3.90E-06,Good,Good,1
12488,Manning Point,15240,Mid-Coast,1,Good,Good,0
12489,Mannus,17080,Snowy Valleys,1,Good,Good,0
12490,Manobalai,15650,Muswellbrook,0.8859782,Good,Good,0
12490,Manobalai,17620,Upper Hunter Shire,0.1140218,Good,Good,0
12491,Manton (NSW),18710,Yass Valley,1,Good,Good,0
12492,Manyana,16950,Shoalhaven,1,Good,Good,0
12493,Maragle,17080,Snowy Valleys,1,Good,Good,0
12494,Maraylya,13800,Hawkesbury,0.6658911,Good,Good,0
12494,Maraylya,17420,The Hills Shire,0.3341089,Good,Good,0
12495,Marayong,10750,Blacktown,1,Good,Good,0
12496,March,11400,Cabonne,1,Good,Good,0
12497,Marchmont,18710,Yass Valley,1,Good,Good,0
12498,Mardi,11650,Central Coast (NSW),1,Good,Good,0
12499,Marengo (NSW),11730,Clarence Valley,1,Good,Good,0
12500,Mares Run,15240,Mid-Coast,1,Good,Good,0
12501,Marinna,14300,Junee,1,Good,Good,0
12502,Marks Point,14650,Lake Macquarie,1,Good,Good,0
12503,Markwell,15240,Mid-Coast,1,Good,Good,0
12504,Marlee,15240,Mid-Coast,1,Good,Good,0
12505,Marlo Merrican,16380,Port Macquarie-Hastings,1,Good,Good,0
12506,Marlow,11650,Central Coast (NSW),1,Good,Good,0
12507,Marlowe,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
12508,Marmong Point,14650,Lake Macquarie,1,Good,Good,0
12509,Marom Creek,10250,Ballina,0.2185514,Good,Good,0
12509,Marom Creek,14850,Lismore,0.7814486,Good,Good,0
12510,Maroota,14000,Hornsby,0.1833579,Acceptable,Good,0
12510,Maroota,17420,The Hills Shire,0.8166421,Good,Good,0
12511,Maroubra,16550,Randwick,1,Good,Good,0
12512,Marrangaroo,14870,Lithgow,1,Good,Good,0
12513,Marrar,12000,Coolamon,0.9690817,Good,Good,0
12513,Marrar,17750,Wagga Wagga,0.0309183,Good,Good,0
12514,Marrickville,14170,Inner West,1,Good,Good,0
12515,Marsden Park,10750,Blacktown,1,Good,Good,0
12516,Marsfield,16700,Ryde,1,Good,Good,0
12517,Marshall Mount,18450,Wollongong,1,Good,Good,0
12518,Marshdale,12700,Dungog,1,Good,Good,0
12519,Marthaguy,17950,Warren,1,Good,Good,0
12520,Martindale,15650,Muswellbrook,1,Good,Good,0
12521,Martins Creek,12700,Dungog,1,Good,Good,0
12522,Martinsville,14650,Lake Macquarie,1,Good,Good,0
12523,Marulan,13310,Goulburn Mulwaree,1,Good,Good,0
12524,Maryland (Newcastle - NSW),15900,Newcastle,1,Good,Good,0
12525,Maryland (Tenterfield - NSW),17400,Tenterfield,1,Good,Good,0
12526,Marys Mount,13550,Gunnedah,1,Good,Good,0
12527,Maryvale (NSW),12390,Dubbo Regional,1,Good,Good,0
12528,Maryville,15900,Newcastle,1,Good,Good,0
12529,Mascot,10500,Bayside (NSW),1,Good,Good,0
12530,Matcham,11650,Central Coast (NSW),1,Good,Good,0
12531,Matheson,13010,Glen Innes Severn,0.9998001,Good,Good,0
12531,Matheson,14220,Inverell,0.0001999,Good,Good,1
12532,Mathoura,15520,Murray River,1,Good,Good,0
12533,Matong,12000,Coolamon,0.9263029,Good,Good,0
12533,Matong,17750,Wagga Wagga,0.0736971,Good,Good,0
12534,Matraville,16550,Randwick,1,Good,Good,0
12535,Maude (NSW),13850,Hay,1,Good,Good,0
12536,Maules Creek,15750,Narrabri,1,Good,Good,0
12537,Maxwell,17750,Wagga Wagga,1,Good,Good,0
12538,Maybole,13010,Glen Innes Severn,0.5686005,Good,Good,0
12538,Maybole,14220,Inverell,0.4313995,Good,Good,0
12539,Mayers Flat,15240,Mid-Coast,1,Good,Good,0
12540,Mayfield (Newcastle - NSW),15900,Newcastle,1,Good,Good,0
12541,Mayfield (Oberon - NSW),16100,Oberon,1,Good,Good,0
12542,Mayfield (Queanbeyan-Palerang Regional - NSW),16490,Queanbeyan-Palerang Regional,1,Good,Good,0
12543,Mayfield (Shoalhaven - NSW),16950,Shoalhaven,1,Good,Good,0
12544,Mayfield East,15900,Newcastle,1,Good,Good,0
12545,Mayfield North,15900,Newcastle,1,Good,Good,0
12546,Mayfield West,15900,Newcastle,1,Good,Good,0
12547,Mayrung,12730,Edward River,1,Good,Good,0
12548,Mays Hill,12380,Cumberland,0.7861967,Good,Good,0
12548,Mays Hill,16260,Parramatta,0.2138033,Acceptable,Good,0
12549,Mayvale,17310,Tamworth Regional,1,Good,Good,0
12550,McCullys Gap,15650,Muswellbrook,1,Good,Good,0
12551,McDougalls Hill,17000,Singleton,1,Good,Good,0
12552,McGraths Hill,13800,Hawkesbury,1,Good,Good,0
12553,McKees Hill,14850,Lismore,0.4353829,Good,Good,0
12553,McKees Hill,16610,Richmond Valley,0.5646171,Good,Good,0
12554,McKellars Park,14870,Lithgow,1,Good,Good,0
12555,McLeans Ridges,10250,Ballina,0.1214036,Good,Good,0
12555,McLeans Ridges,14850,Lismore,0.8785964,Good,Good,0
12556,McLeods Shoot,11350,Byron,1,Good,Good,0
12557,McMahons Point,15950,North Sydney,1,Good,Good,0
12558,McMahons Reef,13910,Hilltops,1,Good,Good,0
12559,Meadow Flat,10470,Bathurst Regional,0.52127,Good,Good,0
12559,Meadow Flat,14870,Lithgow,0.47873,Good,Good,0
12560,Meadowbank (NSW),16700,Ryde,1,Good,Good,0
12561,Mebbin,17550,Tweed,1,Good,Good,0
12562,Mebul,15270,Mid-Western Regional,1,Good,Good,0
12563,Medlow Bath,10900,Blue Mountains,1,Good,Good,0
12564,Medowie,16400,Port Stephens,1,Good,Good,0
12565,Medway,18350,Wingecarribee,1,Good,Good,0
12566,Meerschaum Vale,10250,Ballina,1,Good,Good,0
12567,Megalong Valley,10900,Blue Mountains,0.6802911,Good,Good,0
12567,Megalong Valley,14870,Lithgow,0.3197089,Good,Good,0
12568,Megan,10600,Bellingen,1,Good,Good,0
12569,Melbergen,11600,Carrathool,1,Good,Good,0
12570,Melinga,15240,Mid-Coast,1,Good,Good,0
12571,Mellong,13800,Hawkesbury,1,Good,Good,0
12572,Mellool,15520,Murray River,1,Good,Good,0
12573,Melonba,10750,Blacktown,1,Good,Good,0
12574,Melrose Park (NSW),16260,Parramatta,0.2387266,Acceptable,Good,0
12574,Melrose Park (NSW),16700,Ryde,0.7612734,Good,Good,0
12575,Melville (NSW),15050,Maitland,1,Good,Good,0
12576,Memagong,13910,Hilltops,1,Good,Good,0
12577,Menah,15270,Mid-Western Regional,1,Good,Good,0
12578,Menai,17150,Sutherland Shire,1,Good,Good,0
12579,Menangle,18400,Wollondilly,1,Good,Good,0
12580,Menangle Park,11500,Campbelltown (NSW),1,Good,Good,0
12581,Mendooran,12950,Gilgandra,0.1331379,Good,Good,0
12581,Mendooran,18020,Warrumbungle Shire,0.8668621,Good,Good,0
12582,Menindee,11700,Central Darling,0.9997211,Good,Good,0
12582,Menindee,19399,Unincorporated NSW,0.0002789,Acceptable,Good,1
12583,Merah North,15750,Narrabri,1,Good,Good,0
12584,Merewether,15900,Newcastle,1,Good,Good,0
12585,Merewether Heights,15900,Newcastle,1,Good,Good,0
12586,Merimbula,10550,Bega Valley,1,Good,Good,0
12587,Meringo,12750,Eurobodalla,1,Good,Good,0
12588,Mernot,15240,Mid-Coast,1,Good,Good,0
12589,Meroo,15270,Mid-Western Regional,1,Good,Good,0
12590,Meroo Meadow,16950,Shoalhaven,1,Good,Good,0
12591,Merotherie,15270,Mid-Western Regional,1,Good,Good,0
12592,Merriangaah,17040,Snowy Monaro Regional,1,Good,Good,0
12593,Merricumbene,12750,Eurobodalla,1,Good,Good,0
12594,Merrigal,12950,Gilgandra,0.0016611,Good,Good,1
12594,Merrigal,17950,Warren,0.9983389,Good,Good,0
12595,Merrill,17640,Upper Lachlan Shire,1,Good,Good,0
12596,Merriwa (NSW),17620,Upper Hunter Shire,1,Good,Good,0
12597,Merriwagga,11600,Carrathool,1,Good,Good,0
12598,Merrygoen,18020,Warrumbungle Shire,1,Good,Good,0
12599,Merrylands,12380,Cumberland,0.9999991,Good,Good,0
12599,Merrylands,16260,Parramatta,9.00E-07,Acceptable,Good,1
12600,Merrylands West,12380,Cumberland,1,Good,Good,0
12601,Merungle Hill,14750,Leeton,1,Good,Good,0
12602,Meryla,18350,Wingecarribee,1,Good,Good,0
12603,Metford,15050,Maitland,1,Good,Good,0
12604,Methul,12000,Coolamon,1,Good,Good,0
12605,Metz,10180,Armidale Regional,1,Good,Good,0
12606,Miamley,14600,Lachlan,1,Good,Good,0
12607,Miandetta (NSW),10950,Bogan,1,Good,Good,0
12608,Micalo Island,11730,Clarence Valley,1,Good,Good,0
12609,Michelago,17040,Snowy Monaro Regional,1,Good,Good,0
12610,Middle Arm,13310,Goulburn Mulwaree,0.8756181,Good,Good,0
12610,Middle Arm,17640,Upper Lachlan Shire,0.1243819,Good,Good,0
12611,Middle Brook,17620,Upper Hunter Shire,1,Good,Good,0
12612,Middle Brother,16380,Port Macquarie-Hastings,1,Good,Good,0
12613,Middle Cove,18250,Willoughby,1,Good,Good,0
12614,Middle Dural,14000,Hornsby,0.2118724,Acceptable,Good,0
12614,Middle Dural,17420,The Hills Shire,0.7881276,Good,Good,0
12615,Middle Falbrook,17000,Singleton,1,Good,Good,0
12616,Middle Flat,17040,Snowy Monaro Regional,1,Good,Good,0
12617,Middle Pocket,11350,Byron,1,Good,Good,0
12618,Middleton Grange,14900,Liverpool,1,Good,Good,0
12619,Middlingbank,17040,Snowy Monaro Regional,1,Good,Good,0
12620,Midginbil,17550,Tweed,1,Good,Good,0
12621,Mihi,17650,Uralla,1,Good,Good,0
12622,Mila,17040,Snowy Monaro Regional,1,Good,Good,0
12623,Milbrodale,17000,Singleton,1,Good,Good,0
12624,Milbrulong,14950,Lockhart,1,Good,Good,0
12625,Milkers Flat,10470,Bathurst Regional,1,Good,Good,0
12626,Millah Murrah,10470,Bathurst Regional,1,Good,Good,0
12627,Millbank (NSW),14350,Kempsey,1,Good,Good,0
12628,Miller,14900,Liverpool,1,Good,Good,0
12629,Millers Forest,15050,Maitland,1,Good,Good,0
12630,Millers Point,17200,Sydney,1,Good,Good,0
12631,Millfield,11720,Cessnock,1,Good,Good,0
12632,Millie,15300,Moree Plains,0.9991681,Good,Good,0
12632,Millie,15750,Narrabri,0.0008319,Good,Good,1
12633,Millingandi,10550,Bega Valley,1,Good,Good,0
12634,Millthorpe,10850,Blayney,0.9532976,Good,Good,0
12634,Millthorpe,16150,Orange,0.0467024,Good,Good,0
12635,Milparinka,19399,Unincorporated NSW,1,Acceptable,Good,0
12636,Milperra,11570,Canterbury-Bankstown,1,Good,Good,0
12637,Milroy (Gunnedah - NSW),13550,Gunnedah,1,Good,Good,0
12638,Milroy (Mid-Western Regional - NSW),15270,Mid-Western Regional,1,Good,Good,0
12639,Milsons Passage,14000,Hornsby,1,Acceptable,Good,0
12640,Milsons Point,15950,North Sydney,1,Good,Good,0
12641,Milton (NSW),16950,Shoalhaven,1,Good,Good,0
12642,Milvale,12160,Cootamundra-Gundagai Regional,0.4148676,Good,Good,0
12642,Milvale,13910,Hilltops,0.5851324,Good,Good,0
12643,Mimosa (NSW),17350,Temora,1,Good,Good,0
12644,Minchinbury,10750,Blacktown,1,Good,Good,0
12645,Mindaribba,15050,Maitland,1,Good,Good,0
12646,Mingoola (NSW),17400,Tenterfield,1,Good,Good,0
12647,Minimbah,15240,Mid-Coast,1,Good,Good,0
12648,Minjary,17080,Snowy Valleys,1,Good,Good,0
12649,Minmi,15900,Newcastle,1,Good,Good,0
12650,Minnamurra,14400,Kiama,1,Good,Good,0
12651,Minnie Water,11730,Clarence Valley,1,Good,Good,0
12652,Minore,12390,Dubbo Regional,1,Good,Good,0
12653,Minto,11500,Campbelltown (NSW),1,Good,Good,0
12654,Minto Heights,11500,Campbelltown (NSW),1,Good,Good,0
12655,Mirador,10550,Bega Valley,1,Good,Good,0
12656,Miranda (NSW),17150,Sutherland Shire,1,Good,Good,0
12657,Mirannie,17000,Singleton,1,Good,Good,0
12658,Mirrabooka (NSW),14650,Lake Macquarie,1,Good,Good,0
12659,Mirrool,10800,Bland,1,Good,Good,0
12660,Missabotti,15700,Nambucca Valley,1,Good,Good,0
12661,Mitchell (NSW),10470,Bathurst Regional,1,Good,Good,0
12662,Mitchells Flat,17000,Singleton,1,Good,Good,0
12663,Mitchells Island,15240,Mid-Coast,1,Good,Good,0
12664,Mittagong,18350,Wingecarribee,1,Good,Good,0
12665,Moama,15520,Murray River,1,Good,Good,0
12666,Modanville,14850,Lismore,1,Good,Good,0
12667,Mogareeka,10550,Bega Valley,1,Good,Good,0
12668,Mogendoura,12750,Eurobodalla,1,Good,Good,0
12669,Moggs Swamp,13010,Glen Innes Severn,1,Good,Good,0
12670,Mogilla,10550,Bega Valley,1,Good,Good,0
12671,Mogo (Eurobodalla - NSW),12750,Eurobodalla,1,Good,Good,0
12672,Mogo (Mid-Western Regional - NSW),15270,Mid-Western Regional,0.9988938,Good,Good,0
12672,Mogo (Mid-Western Regional - NSW),17620,Upper Hunter Shire,0.0011062,Good,Good,1
12673,Mogo Creek,13800,Hawkesbury,1,Good,Good,0
12674,Mogood,16950,Shoalhaven,1,Good,Good,0
12675,Mograni,15240,Mid-Coast,1,Good,Good,0
12676,Mogriguy,12390,Dubbo Regional,1,Good,Good,0
12677,Mole River,17400,Tenterfield,1,Good,Good,0
12678,Moleville Creek,11730,Clarence Valley,1,Good,Good,0
12679,Mollyan,18020,Warrumbungle Shire,1,Good,Good,0
12680,Mollymook,16950,Shoalhaven,1,Good,Good,0
12681,Mollymook Beach,16950,Shoalhaven,1,Good,Good,0
12682,Molong,11400,Cabonne,1,Good,Good,0
12683,Mona Vale,15990,Northern Beaches,1,Good,Good,0
12684,Monak,18200,Wentworth,1,Good,Good,0
12685,Monaltrie,14850,Lismore,1,Good,Good,0
12686,Mondayong,16950,Shoalhaven,1,Good,Good,0
12687,Mondrook,15240,Mid-Coast,1,Good,Good,0
12688,Monga,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
12689,Mongarlowe,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
12690,Mongogarie,16610,Richmond Valley,1,Good,Good,0
12691,Monia Gap,11600,Carrathool,1,Good,Good,0
12692,Monivae,15270,Mid-Western Regional,1,Good,Good,0
12693,Monkerai,15240,Mid-Coast,1,Good,Good,0
12694,Monteagle,13910,Hilltops,1,Good,Good,0
12695,Montecollum,11350,Byron,1,Good,Good,0
12696,Montefiores,12390,Dubbo Regional,1,Good,Good,0
12697,Monterey,10500,Bayside (NSW),1,Good,Good,0
12698,Mooball,17550,Tweed,1,Good,Good,0
12699,Moobi,17620,Upper Hunter Shire,1,Good,Good,0
12700,Moogem,13010,Glen Innes Severn,1,Good,Good,0
12701,Mookerawa,12390,Dubbo Regional,1,Good,Good,0
12702,Mookima Wybra,11730,Clarence Valley,1,Good,Good,0
12703,Moolarben,15270,Mid-Western Regional,1,Good,Good,0
12704,Moollattoo,16950,Shoalhaven,1,Good,Good,0
12705,Moolpa,15520,Murray River,1,Good,Good,0
12706,Moombooldool,15800,Narrandera,1,Good,Good,0
12707,Moonan Brook,17620,Upper Hunter Shire,1,Good,Good,0
12708,Moonan Flat,17620,Upper Hunter Shire,1,Good,Good,0
12709,Moonbah,17040,Snowy Monaro Regional,1,Good,Good,0
12710,Moonbi,17310,Tamworth Regional,1,Good,Good,0
12711,Moonbria,12730,Edward River,1,Good,Good,0
12712,Mooneba,14350,Kempsey,1,Good,Good,0
12713,Moonee,11650,Central Coast (NSW),0.3333333,Good,Good,0
12713,Moonee,14650,Lake Macquarie,0.6666667,Good,Good,0
12714,Moonee Beach,11800,Coffs Harbour,1,Good,Good,0
12715,Mooney Mooney,11650,Central Coast (NSW),1,Good,Good,0
12716,Mooney Mooney Creek,11650,Central Coast (NSW),1,Good,Good,0
12717,Moonpar,11730,Clarence Valley,1,Good,Good,0
12718,Mooral Creek,15240,Mid-Coast,1,Good,Good,0
12719,Moorara,18200,Wentworth,1,Good,Good,0
12720,Moorbel,11400,Cabonne,1,Good,Good,0
12721,Moore Creek,17310,Tamworth Regional,1,Good,Good,0
12722,Moore Park,17200,Sydney,1,Good,Good,0
12723,Moorebank,14900,Liverpool,1,Good,Good,0
12724,Moorilda,10850,Blayney,1,Good,Good,0
12725,Moorland (NSW),15240,Mid-Coast,1,Good,Good,0
12726,Moorong,17750,Wagga Wagga,1,Good,Good,0
12727,Moorwatha,13340,Greater Hume Shire,1,Good,Good,0
12728,Moparrabah,14350,Kempsey,1,Good,Good,0
12729,Moppy,15240,Mid-Coast,1,Good,Good,0
12730,Morago,12730,Edward River,1,Good,Good,0
12731,Morangarell,10800,Bland,0.0812854,Good,Good,0
12731,Morangarell,13910,Hilltops,0.4593573,Good,Good,0
12731,Morangarell,17350,Temora,0.4593573,Good,Good,0
12732,Morans Crossing,10550,Bega Valley,1,Good,Good,0
12733,Moree,15300,Moree Plains,1,Good,Good,0
12734,Morisset,14650,Lake Macquarie,1,Good,Good,0
12735,Morisset Park,14650,Lake Macquarie,1,Good,Good,0
12736,Morning Bay,15990,Northern Beaches,1,Good,Good,0
12737,Mororo,11730,Clarence Valley,1,Good,Good,0
12738,Morpeth,15050,Maitland,1,Good,Good,0
12739,Mortdale,12930,Georges River,1,Acceptable,Good,0
12740,Mortlake (NSW),11520,Canada Bay,1,Good,Good,0
12741,Morton,16950,Shoalhaven,1,Good,Good,0
12742,Mortons Creek,16380,Port Macquarie-Hastings,1,Good,Good,0
12743,Morts Estate,14870,Lithgow,1,Good,Good,0
12744,Morundah,12870,Federation,0.9459277,Good,Good,0
12744,Morundah,15800,Narrandera,0.0540723,Good,Good,0
12745,Moruya,12750,Eurobodalla,1,Good,Good,0
12746,Moruya Heads,12750,Eurobodalla,1,Good,Good,0
12747,Morven (Glen Innes Severn - NSW),13010,Glen Innes Severn,1,Good,Good,0
12748,Morven (Greater Hume Shire - NSW),13340,Greater Hume Shire,1,Good,Good,0
12749,Mosman,15350,Mosman,1,Good,Good,0
12750,Moss Vale,18350,Wingecarribee,1,Good,Good,0
12751,Mossgiel,10300,Balranald,0.1383821,Good,Good,0
12751,Mossgiel,11600,Carrathool,0.3790017,Good,Good,0
12751,Mossgiel,11700,Central Darling,0.4826162,Good,Good,0
12752,Mossy Point,12750,Eurobodalla,1,Good,Good,0
12753,Moto,15240,Mid-Coast,1,Good,Good,0
12754,Moulamein,12730,Edward River,0.0748639,Good,Good,0
12754,Moulamein,15520,Murray River,0.9251361,Good,Good,0
12755,Mount Adrah,12160,Cootamundra-Gundagai Regional,0.9124674,Good,Good,0
12755,Mount Adrah,17080,Snowy Valleys,0.0875326,Good,Good,0
12756,Mount Annan,11450,Camden,0.9999992,Good,Good,0
12756,Mount Annan,11500,Campbelltown (NSW),8.00E-07,Good,Good,1
12757,Mount Aquila,12390,Dubbo Regional,1,Good,Good,0
12758,Mount Arthur,12390,Dubbo Regional,1,Good,Good,0
12759,Mount Austin,17750,Wagga Wagga,1,Good,Good,0
12760,Mount Burrell,17550,Tweed,1,Good,Good,0
12761,Mount Colah,14000,Hornsby,1,Acceptable,Good,0
12762,Mount Collins,13910,Hilltops,1,Good,Good,0
12763,Mount Cooper (NSW),17040,Snowy Monaro Regional,1,Good,Good,0
12764,Mount Darragh,10550,Bega Valley,1,Good,Good,0
12765,Mount David,16100,Oberon,1,Good,Good,0
12766,Mount Dee,15050,Maitland,1,Good,Good,0
12767,Mount Druitt,10750,Blacktown,1,Good,Good,0
12768,Mount Elliot (NSW),11650,Central Coast (NSW),1,Good,Good,0
12769,Mount Fairy,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
12770,Mount Foster,17950,Warren,1,Good,Good,0
12771,Mount Frome,15270,Mid-Western Regional,1,Good,Good,0
12772,Mount George (NSW),15240,Mid-Coast,1,Good,Good,0
12773,Mount Harris,17950,Warren,1,Good,Good,0
12774,Mount Hope (NSW),11750,Cobar,1,Good,Good,0
12775,Mount Horeb,17080,Snowy Valleys,1,Good,Good,0
12776,Mount Hunter,18400,Wollondilly,1,Good,Good,0
12777,Mount Hutton (NSW),14650,Lake Macquarie,1,Good,Good,0
12778,Mount Irvine,10900,Blue Mountains,1,Good,Good,0
12779,Mount Keira,18450,Wollongong,1,Good,Good,0
12780,Mount Kembla,18450,Wollongong,1,Good,Good,0
12781,Mount Kingiman,16950,Shoalhaven,1,Good,Good,0
12782,Mount Knowles,15270,Mid-Western Regional,1,Good,Good,0
12783,Mount Kuring-Gai,14000,Hornsby,1,Acceptable,Good,0
12784,Mount Lambie,14870,Lithgow,1,Good,Good,0
12785,Mount Lewis,11570,Canterbury-Bankstown,1,Good,Good,0
12786,Mount Lindsey,18350,Wingecarribee,1,Good,Good,0
12787,Mount Marsden,14870,Lithgow,1,Good,Good,0
12788,Mount Marsh,11730,Clarence Valley,0.25,Good,Good,0
12788,Mount Marsh,16610,Richmond Valley,0.75,Good,Good,0
12789,Mount Mitchell,13010,Glen Innes Severn,1,Good,Good,0
12790,Mount Murray,18350,Wingecarribee,1,Good,Good,0
12791,Mount Olive (Oberon - NSW),16100,Oberon,1,Good,Good,0
12792,Mount Olive (Singleton - NSW),17000,Singleton,1,Good,Good,0
12793,Mount Ousley,18450,Wollongong,1,Good,Good,0
12794,Mount Panorama,10470,Bathurst Regional,1,Good,Good,0
12795,Mount Pleasant (NSW),18450,Wollongong,1,Good,Good,0
12796,Mount Pritchard,12850,Fairfield,0.9473646,Good,Good,0
12796,Mount Pritchard,14900,Liverpool,0.0526354,Good,Good,0
12797,Mount Rankin,10470,Bathurst Regional,1,Good,Good,0
12798,Mount Rivers,12700,Dungog,1,Good,Good,0
12799,Mount Riverview,10900,Blue Mountains,1,Good,Good,0
12800,Mount Royal,17000,Singleton,1,Good,Good,0
12801,Mount Russell,14220,Inverell,1,Good,Good,0
12802,Mount Saint Thomas,18450,Wollongong,1,Good,Good,0
12803,Mount Seaview,16380,Port Macquarie-Hastings,1,Good,Good,0
12804,Mount Tenandra,12150,Coonamble,1,Good,Good,0
12805,Mount Thorley,17000,Singleton,1,Good,Good,0
12806,Mount Tomah,10900,Blue Mountains,1,Good,Good,0
12807,Mount Vernon,16350,Penrith,1,Good,Good,0
12808,Mount Victoria,10900,Blue Mountains,1,Good,Good,0
12809,Mount View,11720,Cessnock,1,Good,Good,0
12810,Mount Vincent,11720,Cessnock,1,Good,Good,0
12811,Mount Warning,17550,Tweed,1,Good,Good,0
12812,Mount Warrigal,16900,Shellharbour,1,Good,Good,0
12813,Mount Werong,16100,Oberon,0.9966887,Good,Good,0
12813,Mount Werong,17640,Upper Lachlan Shire,0.0033113,Good,Good,1
12814,Mount White,11650,Central Coast (NSW),1,Good,Good,0
12815,Mount Wilson,10900,Blue Mountains,1,Good,Good,0
12816,Mountain Creek (NSW),13340,Greater Hume Shire,1,Good,Good,0
12817,Mountain Lagoon,13800,Hawkesbury,1,Good,Good,0
12818,Mountain Top,14850,Lismore,1,Good,Good,0
12819,Mountain View (NSW),11730,Clarence Valley,1,Good,Good,0
12820,Mourquong,18200,Wentworth,1,Good,Good,0
12821,Mowbray Park,18400,Wollondilly,1,Good,Good,0
12822,Mozart,16100,Oberon,1,Good,Good,0
12823,Mudgee,15270,Mid-Western Regional,1,Good,Good,0
12824,Mulbring,11720,Cessnock,1,Good,Good,0
12825,Mulgoa,16350,Penrith,1,Good,Good,0
12826,Mulgrave (NSW),13800,Hawkesbury,1,Good,Good,0
12827,Mulguthrie,12900,Forbes,1,Good,Good,0
12828,Muli Muli,14550,Kyogle,1,Good,Good,0
12829,Mulla,10950,Bogan,1,Good,Good,0
12830,Mulla Creek,17310,Tamworth Regional,1,Good,Good,0
12831,Mullaley,13550,Gunnedah,1,Good,Good,0
12832,Mullamuddy,15270,Mid-Western Regional,1,Good,Good,0
12833,Mullaway,11800,Coffs Harbour,1,Good,Good,0
12834,Mullengandra,13340,Greater Hume Shire,1,Good,Good,0
12835,Mullengudgery,17950,Warren,1,Good,Good,0
12836,Mullion,18710,Yass Valley,1,Good,Good,0
12837,Mullion Creek,11400,Cabonne,1,Good,Good,0
12838,Mulloon,16490,Queanbeyan-Palerang Regional,1,Good,Good,0
12839,Mullumbimby,11350,Byron,1,Good,Good,0
12840,Mullumbimby Creek,11350,Byron,1,Good,Good,0
12841,Mulwala,10650,Berrigan,0.0027377,Good,Good,1
12841,Mulwala,12870,Federation,0.9972623,Good,Good,0
12842,Mulyandry,12900,Forbes,1,Good,Good,0
12843,Mumbil,12390,Dubbo Regional,1,Good,Good,0
12844,Mumblebone Plain,17950,Warren,1,Good,Good,0
12845,Mumbulla Mountain,10550,Bega Valley,1,Good,Good,0
12846,Mummel,13310,Goulburn Mulwaree,1,Good,Good,0
12847,Mummulgum,14550,Kyogle,1,Good,Good,0
12848,Mundamia,16950,Shoalhaven,1,Good,Good,0
12849,Mundarlo,12160,Cootamundra-Gundagai Regional,1,Good,Good,0
12850,Munderoo,17080,Snowy Valleys,1,Good,Good,0
12851,Mundongo,17080,Snowy Valleys,1,Good,Good,0
12852,Mungay Creek,14350,Kempsey,1,Good,Good,0
12853,Munghorn,15270,Mid-Western Regional,1,Good,Good,0
12854,Mungindi (NSW),15300,Moree Plains,1,Good,Good,0
12855,Mungo,10300,Balranald,1,Good,Good,0
12856,Mungo Brush,15240,Mid-Coast,1,Good,Good,0
12857,Munni,12700,Dungog,1,Good,Good,0
12858,Munyabla,14950,Lockhart,1,Good,Good,0
12859,Murga,11400,Cabonne,1,Good,Good,0
12860,Murrah,10550,Bega Valley,1,Good,Good,0
12861,Murrami,14750,Leeton,1,Good,Good,0
12862,Murrawombie,10950,Bogan,1,Good,Good,0
12863,Murray Downs,15520,Murray River,1,Good,Good,0
12864,Murray Gorge,17080,Snowy Valleys,1,Good,Good,0
12865,Murrays Beach,14650,Lake Macquarie,1,Good,Good,0
12866,Murrays Run,11720,Cessnock,1,Good,Good,0
12867,Murrengenburg,12750,Eurobodalla,1,Good,Good,0
12868,Murrin Bridge,14600,Lachlan,1,Good,Good,0
12869,Murringo,13910,Hilltops,1,Good,Good,0
12870,Murrulebale,12000,Coolamon,1,Good,Good,0
12871,Murrumbateman,18710,Yass Valley,1,Good,Good,0
